PPS,FER,APPF,SFP,PS,H,dIP,sIP,lable1,lable2
170.5,0,5.246153846,0,0.044693939,0.09141765,0.096463556,0.472247775,0,1
175.5,0,4.808219178,0,0,0.373447948,0.205063852,0.651234684,0,1
176.5,1.5,5.883333333,0.03125,0.243562009,0.417268912,0.318797768,0.587030316,0,1
183.5,1,4.766233766,0,0.083466753,0.410553057,0.196556079,1.143292122,0,1
187.5,0.5,5.067567568,0,0.14162707,0.299504195,0.058306982,0.736679476,0,1
192,190,0.022972003,0.002624672,0.010362224,5.878294469,5.878294469,0,1,0
196,0,5.226666667,0.083333333,0,0.584084619,0.04379448,1.484257699,0,1
200.5,2.5,12.53125,0.157894737,0.049243585,0.151960035,0.144821763,0.138410093,0,1
201.5,195,0.028897175,0.005089059,0.026919333,5.773690393,5.773690393,0,1,0
203.5,0.5,5.217948718,0.133333333,0.03102312,0.126683513,0.232620312,0.5404002,0,1
205,198.5,0.037020316,0.002487562,0.021708509,5.777170799,5.777170799,0,1,0
206,0,5.350649351,0.05,0.017038371,0.569733393,0.249557692,0.846356441,0,1
208,204,0.048388973,0.985436893,0.011946709,5.895665883,5.895665883,0,1,0
210.5,0.5,5.613333333,0.047619048,0,0.388604174,0.178708079,1.006485838,0,1
215.5,208,0.028516607,0,0.029702884,5.820800622,5.820800622,0,1,0
227.5,0,5.909090909,0,0.121901182,0.727382527,0.256200768,1.1274749,0,1
244.5,0,6.698630137,0,0,0.455718247,0.036289745,1.12498564,0,1
253,252,0.05236469,0.003960396,0.003944747,6.169441225,6.169441225,0,1,0
258.5,254,0.049601842,0,0.013447574,6.122020455,6.122020455,0,1,0
265.5,0.5,6.721518987,0,0,0.008319552,0.164519563,0.466630644,0,1
289,287,0.070582489,0.994791667,0.005176818,6.308666563,6.308666563,0,1,0
289,281.5,0.035381978,0.003514938,0.017150504,6.16892116,6.16892116,0,1,0
289,1,8.257142857,0,0.072985187,0.860616429,0.082054256,0.975409402,0,1
293.5,0.5,10.48214286,0,0.154276575,0.533589651,0.259847049,0.704508542,0,1
312,0,9.75,0,0,0.206354269,0.128375419,0.184706159,0,1
312.5,0,9.765625,0.052631579,0.046594424,0.194036903,0.178753941,0.147023782,0,1
324,319.5,0.073402809,0.00155521,0.009216259,6.370183559,6.370183559,0,1,0
335.5,0,8.714285714,0.0625,0.011189305,0.48944253,0.213201321,0.706841694,0,1
342.5,329.5,0.043428644,0.004491018,0.025929058,6.244360305,6.244360305,0,1,0
378,372,0.055768663,0.002670227,0.010525823,6.507088003,6.507088003,0,1,0
379.5,370,0.059241336,0.002677376,0.016980274,6.441266321,6.441266321,0,1,0
383.5,0.5,18.70731707,0.1875,0.009963279,0.049323161,0.061831489,0.005422273,0,1
414,406,0.765249538,0.987775061,0.013196385,6.570041396,6.570041396,0,1,0
